<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	04:57:00	1.77120	1.77135	1.77117	1.77125	20	0	43
2019.08.01	04:58:00	1.77125	1.77145	1.77123	1.77130	15	0	40
2019.08.01	04:59:00	1.77130	1.77133	1.77101	1.77107	31	0	46
2019.08.01	05:00:00	1.77103	1.77112	1.77083	1.77083	24	0	38
2019.08.01	05:01:00	1.77083	1.77092	1.77072	1.77092	31	0	41
2019.08.01	05:02:00	1.77089	1.77090	1.77079	1.77081	30	0	39
2019.08.01	05:03:00	1.77081	1.77117	1.77081	1.77117	21	0	30
2019.08.01	05:04:00	1.77117	1.77134	1.77113	1.77114	25	0	41
2019.08.01	05:05:00	1.77114	1.77126	1.77083	1.77115	45	0	38
2019.08.01	05:06:00	1.77115	1.77162	1.77113	1.77160	32	0	41
2019.08.01	05:07:00	1.77160	1.77161	1.77104	1.77114	24	0	43
2019.08.01	05:08:00	1.77114	1.77122	1.77110	1.77112	20	0	45
2019.08.01	05:09:00	1.77112	1.77116	1.77104	1.77105	13	0	43
2019.08.01	05:10:00	1.77105	1.77105	1.77088	1.77089	14	0	37
2019.08.01	05:11:00	1.77089	1.77098	1.77079	1.77080	23	0	39
2019.08.01	05:12:00	1.77080	1.77098	1.77079	1.77079	29	0	36
2019.08.01	05:13:00	1.77067	1.77070	1.77059	1.77059	22	0	40
2019.08.01	05:14:00	1.77059	1.77075	1.77055	1.77071	18	0	43
2019.08.01	05:15:00	1.77071	1.77073	1.77043	1.77054	21	0	40
2019.08.01	05:16:00	1.77043	1.77072	1.77039	1.77072	39	0	35
2019.08.01	05:17:00	1.77076	1.77080	1.77036	1.77036	21	0	32
2019.08.01	05:18:00	1.77036	1.77043	1.76991	1.76998	45	0	34
2019.08.01	05:19:00	1.77003	1.77025	1.76974	1.76977	51	0	40
2019.08.01	05:20:00	1.76977	1.77003	1.76972	1.76989	27	0	39
2019.08.01	05:21:00	1.76988	1.77010	1.76962	1.76975	37	0	40
2019.08.01	05:22:00	1.76975	1.76977	1.76950	1.76950	37	0	41
2019.08.01	05:23:00	1.76953	1.76956	1.76935	1.76941	36	0	41
2019.08.01	05:24:00	1.76941	1.76945	1.76922	1.76922	18	0	42
2019.08.01	05:25:00	1.76921	1.76923	1.76897	1.76897	15	0	40
2019.08.01	05:26:00	1.76897	1.76915	1.76893	1.76911	15	0	44
2019.08.01	05:27:00	1.76911	1.76911	1.76846	1.76870	49	0	32
2019.08.01	05:28:00	1.76870	1.76905	1.76854	1.76884	46	0	36
2019.08.01	05:29:00	1.76886	1.76886	1.76842	1.76845	36	0	42
2019.08.01	05:30:00	1.76845	1.76875	1.76845	1.76869	39	0	43
2019.08.01	05:31:00	1.76869	1.76876	1.76854	1.76854	18	0	42
2019.08.01	05:32:00	1.76854	1.76868	1.76843	1.76855	26	0	43
2019.08.01	05:33:00	1.76855	1.76865	1.76834	1.76836	34	0	37
2019.08.01	05:34:00	1.76831	1.76846	1.76827	1.76829	34	0	37
2019.08.01	05:35:00	1.76832	1.76867	1.76822	1.76838	29	0	40
2019.08.01	05:36:00	1.76838	1.76843	1.76830	1.76843	18	0	39
2019.08.01	05:37:00	1.76843	1.76877	1.76836	1.76869	26	0	41
2019.08.01	05:38:00	1.76869	1.76884	1.76855	1.76883	32	0	34
2019.08.01	05:39:00	1.76881	1.76890	1.76869	1.76880	25	0	30
2019.08.01	05:40:00	1.76880	1.76897	1.76879	1.76893	17	0	30
2019.08.01	05:41:00	1.76893	1.76893	1.76871	1.76875	15	0	38
2019.08.01	05:42:00	1.76875	1.76886	1.76870	1.76870	29	0	40
2019.08.01	05:43:00	1.76867	1.76882	1.76855	1.76862	39	0	43
2019.08.01	05:44:00	1.76862	1.76875	1.76855	1.76875	34	0	40
2019.08.01	05:45:00	1.76876	1.76894	1.76872	1.76882	32	0	42
2019.08.01	05:46:00	1.76882	1.76896	1.76879	1.76887	20	0	43
2019.08.01	05:47:00	1.76887	1.76904	1.76884	1.76895	19	0	38
2019.08.01	05:48:00	1.76895	1.76915	1.76893	1.76915	26	0	40
2019.08.01	05:49:00	1.76915	1.76922	1.76889	1.76895	26	0	42
2019.08.01	05:50:00	1.76895	1.76923	1.76895	1.76918	16	0	42
2019.08.01	05:51:00	1.76918	1.76942	1.76909	1.76942	14	0	35
2019.08.01	05:52:00	1.76942	1.76942	1.76921	1.76921	13	0	39
2019.08.01	05:53:00	1.76921	1.76928	1.76920	1.76923	7	0	39
2019.08.01	05:54:00	1.76923	1.76950	1.76923	1.76949	15	0	41
